公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
3054,立萬利,11894,21191,10983,-43.87,8.29,101642,81867,24.15,主係因本期產品結構改變致銷售金額增加。
1309,台達化,1158361,1079037,1678546,7.35,-30.99,11473931,13919322,-17.56,-
1414,東和,30309,33531,37721,-9.6,-19.64,358863,405266,-11.45,-
1434,福懋,2156675,2183147,2366216,-1.21,-8.85,21439086,21882926,-2.02,-
1452,宏益,121620,105811,154158,14.94,-21.1,1047293,1242672,-15.72,-
1454,台富,117012,118323,138676,-1.1,-15.62,1179294,1232701,-4.33,-
1459,聯發,102095,90191,102407,13.19,-0.3,897502,965295,-7.02,-
1464,得力,1134942,984416,1166847,15.29,-2.73,9337949,8515122,9.66,-
1477,聚陽,2362510,3745640,3291362,-36.92,-28.22,26501961,26767084,-0.99,-
1506,正道,98412,78595,91268,25.21,7.82,820000,766016,7.04,-
1538,正峰,8078,9771,7790,-17.32,3.69,92571,75318,22.9,-
1560,中砂,698435,689622,638126,1.27,9.45,5978578,5185889,15.28,-
2049,上銀,2090162,1903026,2164124,9.83,-3.41,17759602,18015869,-1.42,-
3167,大量,478978,482247,276382,-0.67,73.3,3529065,1610308,119.15,主係因客戶需求量增加所致
4532,瑞智,1195200,1232021,1565303,-2.98,-23.64,16024433,16071817,-0.29,-
4576,大銀微系統,244539,215558,216902,13.44,12.74,1959086,1634707,19.84,-
6606,建德工業,73652,61303,58037,20.14,26.9,599929,550978,8.88,-
8374,羅昇,406681,399030,347776,1.91,16.93,3518874,2464770,42.76,-
1611,中電,83257,81138,86346,2.61,-3.57,817839,863928,-5.33,-
1612,宏泰,607183,572267,475857,6.1,27.59,5901351,4823172,22.35,-
1614,三洋電,420625,418037,453701,0.61,-7.29,4199309,4402142,-4.6,-
1616,億泰,528372,476156,487542,10.96,8.37,4055776,3350117,21.06,-
1713,國化,35037,42410,32031,-17.38,9.38,323641,374971,-13.68,-
1725,元禎,602415,652998,606712,-7.74,-0.7,6237505,6107706,2.12,-
1773,勝一,960896,957512,960837,0.35,0.0,8521273,8162033,4.4,-
4755,三福化,413026,401193,351865,2.94,17.38,3586153,3569182,0.47,-
1731,美吾華,129729,112956,116047,14.84,11.79,1169240,1109779,5.35,本期美髮及醫藥事業部出貨暢旺，營收較去年同期大幅成長近12%。
1783,和康生,65117,70258,63049,-7.31,3.27,586858,475016,23.54,-
4108,懷特,17392,10072,15687,72.67,10.86,101433,116532,-12.95,本期保健產品出貨增加 ，營收較去年同期成長近11%
4746,台耀,417754,366429,365234,14.0,14.37,3547171,3379500,4.96,-
4771,望隼,315898,256040,259008,23.37,21.96,2536498,2240248,13.22,-
6446,藥華藥,1317839,1274036,932418,3.43,41.33,10753539,6673280,61.14,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp. 之營收。
6491,晶碩,622478,631216,577757,-1.38,7.74,5108998,5022500,1.72,-
6534,正瀚-創,106072,59881,54486,77.13,94.67,1490807,1360351,9.58,本月營收較去年同期增加，主要係因部分客戶考量其營運規劃及倉儲需求，致營收增加。
6657,華安,772,317,455,143.53,69.67,4859,5153,-5.7,因試劑銷售成長
6838,台新藥,911,0,4333,,-78.97,6269,137461,-95.43,本月認列收入
6919,康霈*,0,5577,11116,-100.0,-100.0,25627,35071,-26.92,本月健康食品銷售較去年同期減少
6955,邦睿生技-創,26215,25309,19273,3.57,36.01,224075,159854,40.17,-
7799,禾榮科,1514,884,0,71.26,,5526,0,,使用硼中子捕獲治療(BNCT)之恩慈治療照射費及藥品收入
1906,寶隆,253347,286404,243791,-11.54,3.91,2306176,2477337,-6.9,-
1909,榮成,3823401,3731723,4000098,2.45,-4.41,32612889,35106584,-7.1,-
2006,東和鋼鐵,4757657,4546819,4541875,4.63,4.75,44159162,45225337,-2.35,-
2069,運錩,809715,746227,748591,8.5,8.16,7711720,7983110,-3.39,-
3004,豐達科,342559,324270,284080,5.64,20.58,2913092,2569595,13.36,-
2102,泰豐,23244,17448,32753,33.21,-29.03,200129,188314,6.27,-
2103,台橡,3028595,2829978,3410390,7.01,-11.19,28111894,27620063,1.78,-
1319,東陽,1929750,1812381,2171105,6.47,-11.11,18586567,18675484,-0.47,-
2231,為升,316268,300150,427571,5.36,-26.03,2608869,3194646,-18.33,-
2241,艾姆勒,71413,59161,53707,20.7,32.96,507515,523366,-3.02,-
2254,巨鎧精密-創,28194,49400,18572,-42.92,51.8,426803,480300,-11.13,本月營收較去年同期營收減少，係因客戶訂單減少所致。
2258,鴻華先進-創,242450,110617,749886,119.17,-67.66,3573211,6927577,-48.42,本月電動巴士及乘用車交車數量較去年本月下滑。
2497,怡利電,341788,408837,444427,-16.39,-23.09,3338424,3320310,0.54,-
3717,聯嘉投控,517633,459099,0,12.74,,976732,0,,聯嘉光電投控（公司代號：3717）於8月份起100%認列聯嘉光電（原公司代號：6288）的營收。
2303,聯電,19927175,19159816,18942714,4.0,5.19,175743654,171916474,2.22,-
2337,旺宏,2902927,2557121,2652966,13.52,9.42,21150880,19970575,5.91,
2363,矽統,375882,282957,176923,32.84,112.45,1999996,297205,572.93,113年9月1日及114年1月1日起分別新增合併個體聯暻半導體(山東)有限公司與紘康科技(股)公司營收
2408,南亞科,6664140,6762501,2584927,-1.45,157.8,36492902,27556573,32.42,受市場需求復甦影響。
2436,偉詮電,312350,324584,290543,-3.76,7.5,2643331,2258432,17.04,-
2449,京元電子,3271304,3100894,2343053,5.49,39.61,24967894,19559121,27.65,"以上營收不含停業部門營收:114年9月0仟元暨113年9月868,195仟元;114年1~9月985,800仟元暨113年1~9月7,304,788仟元。"
2458,義隆,1133440,1170557,1114868,-3.17,1.66,9466577,9660032,-2.0,-
3006,晶豪科,1308368,1120861,1234788,16.72,5.95,9768470,10330319,-5.43,-
3034,聯詠,8278299,8174953,8918212,1.26,-7.17,77845935,77525232,0.41,-
3035,智原,1358400,911390,942900,49.04,44.06,15185048,8112057,87.19,因量產累計營收增加
3150,鈺寶-創,23114,28577,29916,-19.11,-22.73,251475,283504,-11.29,-
3189,景碩,3586439,3421382,2646537,4.82,35.51,28539658,22491986,26.88,-
3257,虹冠電,100228,100637,70016,-0.4,43.15,814118,664874,22.44,-
3413,京鼎,2059377,1820458,1616439,13.12,27.4,15614386,11655078,33.97,-
3443,創意,3612747,2767549,1763514,30.53,104.86,21741329,19021549,14.29,較去年同期增加主因為晶圓產品收入及委託設計(NRE)增加所致
3450,聯鈞,645366,594962,797761,8.47,-19.1,6462646,5091111,26.93,-
3530,晶相光,179259,156091,208190,14.84,-13.89,1270713,1343329,-5.4,-
3588,通嘉,111442,111650,140750,-0.18,-20.82,1014777,1118481,-9.27,-
4961,天鈺,1385979,1405234,1782935,-1.37,-22.26,14008997,14053265,-0.31,-
4968,立積,330167,330417,308708,-0.07,6.95,2809730,2781537,1.01,-
5222,全訊,88672,43457,102782,104.04,-13.72,691425,972021,-28.86,-
6202,盛群,242883,251647,235964,-3.48,2.93,2375121,1809409,31.26,-
6243,迅杰,52963,47109,63616,12.42,-16.74,506947,541507,-6.38,-
6515,穎崴,666094,511648,711340,30.18,-6.36,5623525,4259059,32.03,-
6531,愛普*,625142,411017,417130,52.09,49.86,3780899,2953426,28.01,-
6552,易華電,100128,105536,142201,-5.12,-29.58,1143003,1559658,-26.71,-
6719,力智,405007,420800,337358,-3.75,20.05,3391734,2762581,22.77,-
6756,威鋒電子,127053,96034,141317,32.3,-10.09,1141731,1333450,-14.37,-
6799,來頡,78570,82130,73307,-4.33,7.17,729501,685754,6.37,-
8016,矽創,1657621,1542554,1589405,7.45,4.29,13694527,13209642,3.67,-
8028,昇陽半導體,384441,402469,312729,-4.47,22.93,3290294,2501649,31.52,-
8131,福懋科,912768,878214,636214,3.93,43.46,6966995,6777591,2.79,-
8261,富鼎,270341,294102,245631,-8.07,10.05,2364068,2130844,10.94,-
8271,宇瞻,1164647,1006580,617432,15.7,88.62,7986108,5728477,39.41,本月營收較去年同期增加係因出貨量增加及市場價格上漲所致
2352,佳世達,18235474,16824730,17663195,8.38,3.23,155743262,147565680,5.54,-
2365,昆盈,74436,81762,75538,-8.96,-1.45,714508,751880,-4.97,-
2380,虹光,309762,219515,182247,41.11,69.96,2097859,1900753,10.36,"虹光自行結算114年09月合併營收約新台幣309,762仟元，較去年同期增加約70%，係受惠市場需求成長，帶動銷量增加。"
2397,友通,1004091,884124,880733,13.56,14.0,8271682,6598766,25.35,-
2417,圓剛,276719,296121,264486,-6.55,4.62,2501404,2525563,-0.95,-
2432,倚天酷��-創,339496,246283,292392,37.84,16.1,2318840,1879140,23.39,-
2465,麗臺,1426276,244302,325865,483.81,337.68,3530014,2667446,32.33,中國子公司麗台上海於113年參與 中國移動通信集團之 系統建置(NVIDIA HGX A800)專案，該專案之營收於9月認列 所致。
3002,歐格,65474,72081,40163,-9.16,63.02,534390,466050,14.66,訂單增加，本月客戶出貨成長
3017,奇鋐,14503309,12622156,6351281,14.9,128.35,91864360,50857226,80.63,"因客戶需求增加,使營收成長"
3046,建��,741616,622360,564454,19.16,31.38,5558323,5772387,-3.7,-
6230,尼得科超眾,759832,765856,752767,-0.78,0.93,6608204,5938654,11.27,-
6235,華孚,659994,501809,419239,31.52,57.42,4843801,4585192,5.64,主要係客戶需求增加導致營收成長。
6579,研揚,814281,778105,595341,4.64,36.77,6365753,5455659,16.68,-
8114,振樺電,996282,1111647,1204691,-10.37,-17.29,15252321,9001041,69.45,主係O2O Solutions逐步回溫與Embedded Foundry需求強勁所致。
8163,達方,2242454,2086248,1766146,7.48,26.96,18891958,15659895,20.63,-
8210,勤誠,2176441,1748197,1465146,24.49,48.54,15261339,10652249,43.26,-
2374,佳能,1062291,974730,574774,8.98,84.81,6569844,4506251,45.79,配合客戶，調整市場出貨需求，故今年九月營收增加。
2393,億光,1622477,1632439,1753651,-0.61,-7.48,15014173,16019321,-6.27,-
2486,一詮,501166,532145,498631,-5.82,0.5,4501262,3973636,13.27,-
2489,瑞軒,2600587,2205299,2461537,17.92,5.64,18544805,17653449,5.04,-
3008,大立光,6235248,5968004,6523997,4.47,-4.42,43929248,41247566,6.5,-
3019,亞光,2536671,2466783,2185365,2.83,16.07,19469094,16730404,16.36,-
3051,力特,147122,140793,175256,4.49,-16.05,1356093,1309491,3.55,-
3168,眾福科,343411,275088,326163,24.83,5.28,2584845,2623465,-1.47,-
3563,牧德,228436,266188,128915,-14.18,77.19,2529153,925879,173.16,主係訂單增加，致本期營收較去年同期成長。
3591,艾笛森,170161,188165,231507,-9.56,-26.49,1755031,1883338,-6.81,-
3714,富采,1790320,1901002,2038647,-5.82,-12.18,16975085,18880636,-10.09,-
4956,光鋐,122200,126393,124338,-3.31,-1.71,1028052,965721,6.45,-
5234,達興材料,402827,382205,356441,5.39,13.01,3443387,3050435,12.88,-
5244,弘凱,81015,71283,84150,13.65,-3.72,612656,631997,-3.06,-
6164,華興,47949,62939,57709,-23.81,-16.91,575642,632031,-8.92,-
6278,台表科,4452405,4174612,3564916,6.65,24.89,37790010,33440265,13.0,-
8215,明基材,1500860,1523905,1575390,-1.51,-4.73,13518487,13670151,-1.1,-
2345,智邦,24318092,25637808,10047189,-5.14,142.03,176301922,71452841,146.73,客戶需求增加
2419,仲琦,781781,581922,779723,34.34,0.26,6343528,6508836,-2.53,-
2439,美律,4990360,4413573,4548840,13.06,9.7,32197030,31503102,2.2,-
2455,全新,346803,275126,269294,26.05,28.78,2420554,2518743,-3.89,-
2498,宏達電,302263,266660,337794,13.35,-10.51,2119695,2135363,-0.73,-
3025,星通,104437,34751,89129,200.52,17.17,349471,484508,-27.87,-
3311,閎暉,221761,206281,224747,7.5,-1.32,1814271,1775207,2.2,-
3380,明泰,2268204,1787191,1909565,26.91,18.78,16054782,15815637,1.51,-
3447,展達,466971,417379,317504,11.88,47.07,2665489,1698141,56.96,"本年累計營收增加,主係客戶需求增加所致。"
3596,智易,4667353,4641818,4060581,0.55,14.94,39973022,36880350,8.38,-
3669,圓展,201843,233181,215314,-13.43,-6.25,1877686,2048456,-8.33,-
5388,中磊,4616997,4856190,4215870,-4.92,9.51,38316510,43364238,-11.64,-
6674,鋐寶科技,72661,36525,89046,98.93,-18.4,473894,679180,-30.22,-
2059,川湖,1507097,1454984,821999,3.58,83.34,12551587,7031155,78.51,新產品開始出貨，導致年對年營收增幅較大。
2313,華通,7492143,6561566,6463377,14.18,15.91,54979500,52631879,4.46,-
2328,廣宇,1817378,1810015,1975658,0.4,-8.01,16841246,16122464,4.45,-
2383,台光電,8008332,8764793,5940565,-8.63,34.8,69333382,45814583,51.33,受惠於AI伺服器成長力道
2385,群光,8284209,8482907,9653109,-2.34,-14.18,72583888,75240892,-3.53,-
2402,毅嘉,987975,956315,870663,3.31,13.47,8124144,7013684,15.83,-
2415,錩新,182565,232221,169890,-21.38,7.46,1741911,1762134,-1.14,-
2467,志聖,495753,538685,333203,-7.96,48.78,4355260,3482930,25.04,-
2476,鉅祥,672262,674112,605687,-0.27,10.99,5432901,4914859,10.54,-
2483,百容,148307,139747,142513,6.12,4.06,1325302,1343057,-1.32,-
3015,全漢,1227991,1070941,1043734,14.66,17.65,10214866,8727256,17.04,-
3023,信邦,2668159,2476462,2858220,7.74,-6.64,23588249,24877978,-5.18,-
3026,禾伸堂,1241641,1080751,1108076,14.88,12.05,10095698,9590040,5.27,-
3042,晶技,1234935,1145692,1299860,7.78,-4.99,10024635,9344576,7.27,-
3090,日電貿,1411397,1381595,1062826,2.15,32.79,11912439,8987429,32.54,-
3321,同泰,211834,200133,165969,5.84,27.63,1620177,1477064,9.68,-
3653,健策,1697056,1689803,1204437,0.42,40.9,15003209,9858487,52.18,因客戶端需求成長，致本年較去年增加百分比達50%以上。
3715,定穎投控,1746919,1593853,1589090,9.6,9.93,14014269,13149698,6.57,-
6155,鈞寶,60989,50006,55793,21.96,9.31,475617,425040,11.89,-
6197,佳必琪,719314,672058,591695,7.03,21.56,5743495,5113202,12.32,-
6205,詮欣,123728,96059,116974,28.8,5.77,1076228,1082613,-0.58,-
6213,聯茂,2763756,2548408,2749315,8.45,0.52,24181597,21713466,11.36,-
6269,台郡,2157341,1970931,1975551,9.45,9.2,16763695,20769914,-19.28,-
6412,群電,3054108,3073466,3620401,-0.62,-15.64,26608921,27306362,-2.55,-
6449,鈺邦,404485,382565,326002,5.72,24.07,3204982,2460960,30.23,-
6805,富世達,1220614,1183461,771374,3.13,58.23,8437779,5417913,55.73,較去年同期客戶需求增加
8039,台虹,1036890,936162,872939,10.75,18.78,7864257,7707686,2.03,自結數尚未經會計師簽證，特此說明。
8046,南電,3539459,3807312,2968814,-7.03,19.22,29008401,24413049,18.82,-
3036,文曄,134947817,100086220,84514548,34.83,59.67,835862160,697554293,19.82,主因資料中心相關營收成長所致
6776,展�眥篕�,2478002,2293803,2368325,8.03,4.63,21243408,18118093,17.24,-
8070,長華*,1696856,1622992,1509848,4.55,12.38,14241081,12739454,11.78,-
8072,陞泰,111639,99035,96249,12.72,15.98,905949,702561,28.94,-
4994,傳奇,83783,96294,142812,-12.99,-41.33,894349,1232451,-27.43,-
5203,訊連,213451,214640,187078,-0.55,14.09,1806575,1546163,16.84,-
6112,邁達特,1935878,1792948,1388959,7.97,39.37,16234438,13466139,20.55,-
2317,鴻海,837067572,606512275,733023957,38.01,14.19,5496964888,4727629390,16.27,-
2354,鴻準,12963200,13803533,5605568,-6.08,131.25,113573397,42556793,166.87,配合客戶策略需求，訂單增加。
2360,致茂,2238275,2197611,1769068,1.85,26.52,19730565,15564704,26.76,-
2482,連宇,41752,41998,51935,-0.58,-19.6,389124,459140,-15.24,-
3030,德律,563585,756253,557973,-25.47,1.0,6386035,4863627,31.3,-
3305,昇貿,976414,941369,764281,3.72,27.75,7657350,5851381,30.86,-
4585,達明,177844,162491,132016,9.44,34.71,1346741,1088176,23.76,-
6438,迅得,531460,529101,473940,0.44,12.13,4852485,3837038,26.46,-
6658,聯策,186487,101748,110324,83.28,69.03,1580817,1092729,44.66,配合客戶訂單時程交貨，故本月營收較去年本月上升。
8021,尖點,418316,389729,322013,7.33,29.9,3068827,2588286,18.56,-
1436,華友聯,117017,449276,1524020,-73.95,-92.32,3692164,6125339,-39.72,本月營收較去年同期減少，係本月交屋數量較去年同期減少所致。
2511,太子,773871,582312,623480,32.89,24.12,5971671,5850515,2.07,-
2540,愛山林,962902,765532,993268,25.78,-3.05,9452105,7502409,25.98,-
6177,達麗,256750,1215468,162846,-78.87,57.66,2747809,5466128,-49.73,本期營收較去年同期上升，主係本期出售「新都心段」及「創研段」餘屋；本年營收未及去年，則為去年度「陽明段」完工過戶之故。
9906,欣巴巴,16732,139028,150251,-87.96,-88.86,421362,2942750,-85.68,本月營收與去年同期之差異，主係本月為成屋入帳。
2617,台航,372216,368983,359030,0.87,3.67,3124888,3306115,-5.48,-
2633,台灣高鐵,4236093,4751344,4456901,-10.84,-4.95,40108105,39750490,0.89,-
2642,宅配通,316145,305853,335803,3.36,-5.85,2896347,3043099,-4.82,-
8940,新天地,61416,68874,133124,-10.82,-53.86,1107575,1234797,-10.3,本月較去年同月營收減少53.87%，係民俗月較去年晚一個月所致。
2852,第一保,645368,644361,595431,0.15,8.38,5681110,5872117,-3.25,-
2884,玉山金,8015455,8248345,6863663,-2.82,16.78,67749825,58592034,15.62,-
2901,欣欣,10756,11295,10926,-4.77,-1.55,97031,100717,-3.65,-
6581,鋼聯,115463,198822,224052,-41.92,-48.46,1628410,1662098,-2.02,-
8422,可寧衛,358349,340487,337460,5.24,6.19,3786595,3872872,-2.22,-
8438,昶昕,343708,334231,301193,2.83,14.11,2796546,2538627,10.15,-
6906,現觀科,34510,26001,51566,32.72,-33.07,229268,247851,-7.49,-
1435,中福,498,499,990,-0.2,-49.69,4486,8679,-48.31,-
1437,勤益控,71384,69292,66233,3.01,7.77,693431,638158,8.66,-
2348,海悅,754664,222520,633961,239.14,19.03,4419650,5837709,-24.29,-
2496,卓越,78440,81272,74166,-3.48,5.76,638462,615013,3.81,-
9902,台火,6668,11881,2394,-43.87,178.52,133982,172244,-22.21,本月營收較去年同期增加主要係本月有投標車輛營收所致。
9925,新保,682067,680145,648220,0.28,5.22,6024547,5877960,2.49,-
